'schluessel','lfdnr','baumnr','ortsteil','plz','strasse','hausnr','xkoord','ykoord','l_geogr','b_geogr','bsgroesse','baumartbot','baumartdt','buegel','buegelerf','bsmulch','bssplitt','bserw','bsfraesen','material','bemerk','status','id','version','pflanzp','spendenstatus','reserviert_bis'
'0312H001','1',' 1/1 - 0021','Prenzlauer Berg','10439','Aalesunder Straße','1','25284.64','25215.79',13.407456978600000852,52.554412786299998572,'10','Tilia cordata \" Greenspire\"','Winterlinde','','2','','x','','2','','','GEPFLANZT',600,0,1,'',NULL
'0312H002','2',' 1/4 - 0022','Prenzlauer Berg','10439','Aalesunder Straße','1','25318.44','25218.51',13.407484988500000256,52.554709393700001385,'4','Carpinus betulus','Hainbuche','','2','','x','','2','','','GEPFLANZT',601,0,1,'',NULL
'0312H003','3',' 2/1 - 0023','Prenzlauer Berg','10439','Aalesunder Straße','2','25283.12','25227.13',13.407619246199999452,52.554395113399998252,'10','Carpinus betulus','Hainbuche','','2','','x','','2','','','GEPFLANZT',602,0,1,'',NULL
'0312H004','4',' 9/1 - 0005','Prenzlauer Berg','10439','Aalesunder Straße','9','25371.63','25223.93',13.407571033800000038,52.555194825699999228,'3','Carpinus betulus','Hainbuche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',603,0,1,'',NULL
'0312H005','5',' 11/1 - 0019','Prenzlauer Berg','10439','Aalesunder Straße','11','25390.62','25225.93',13.407599671299999855,52.555365622799996572,'5','Carpinus betulus','Hainbuche','','2','','x','','2','','','GEPFLANZT',604,0,1,'',NULL
'0312H006','6',' 1/3 - 0002','Prenzlauer Berg','10437','Am Falkplatz','1','24338.05','25112.28',13.405966335600000505,52.545899764799997911,'4','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',605,0,1,'',NULL
'0312H007','7',' 1/5 - 0003','Prenzlauer Berg','10437','Am Falkplatz','1','24348.25','25109.67',13.405936403800000178,52.545989574499998298,'5','Acer rubrum','Rot-Ahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',606,0,1,'',NULL
'0312H008','8','Ü 1/2 - 0023','Prenzlauer Berg','10437','Am Falkplatz','Ü1','24322.98','25101.51',13.405819605699999642,52.545764693099997089,'5','Acer rubrum','Rot-Ahorn','','2','','x','','3','','Stubben sichtbar','GEPFLANZT',607,0,1,'',NULL
'0312H009','9',' 2/1 - 0004','Prenzlauer Berg','10437','Am Falkplatz','2','24357.01','25107.70',13.405906516900000014,52.546070397699999432,'5','Acer rubrum','Rot-Ahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',608,0,1,'',NULL
'0312H010','10',' 2/3 - 0005','Prenzlauer Berg','10437','Am Falkplatz','2','24366.33','25105.52',13.405876629899999841,52.546151220900000567,'5','Acer rubrum','Rot-Ahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',609,0,1,'',NULL
'0312H011','11',' 3/1 - 0034','Prenzlauer Berg','10437','Am Falkplatz','3','24374.86','25103.55',13.405846742799999660,52.546232044100001701,'4','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',610,0,1,'',NULL
'0312H012','12',' 3/3 - 0035','Prenzlauer Berg','10437','Am Falkplatz','3','24385.90','25100.99',13.405802024599999811,52.546330812699999058,'4','Acer rubrum','Rot-Ahorn','','2','','x','','1','','','GEPFLANZT',611,0,1,'',NULL
'0312H013','13',' 4/1 - 0008','Prenzlauer Berg','10437','Am Falkplatz','4','24396.06','25098.65',13.405772092199999435,52.546420622399999445,'4','Acer rubrum','Rot-Ahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',612,0,1,'',NULL
'0312H014','14',' 5/1 - 0010','Prenzlauer Berg','10437','Am Falkplatz','5','24415.20','25094.10',13.405697531099999509,52.546591227699998683,'5','Acer rubrum','Rot-Ahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',613,0,1,'',NULL
